id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status
26,2021-11-04 14:28:06.228899,,,,,,f,,,{},participant,9bfedab5391fefee1bc3e886596a25e1,mturk,26,32XVDSJFP1LCMX9G6N008LZLXZJ2MP,26:32XVDSJFP1LCMX9G6N008LZLXZJ2MP,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:43:00.10035,,,{},returned
126,2021-11-04 14:59:52.055839,,,,,,f,,,{},participant,f67c9f92ed7072c41db79925f08d39d2,mturk,126,3LS2AMNW5HEHEJWDLE5EW7MT85FOQ7,126:3LS2AMNW5HEHEJWDLE5EW7MT85FOQ7,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 15:05:02.495553,1.2,1.15,{},approved
1,2021-11-04 14:27:08.063887,,,,,,f,,,{},participant,501490fb6d58fe9243cfc832f942999d,mturk,1,3EQHHY4HQUG4TKWHD343TNI0LNXG5V,1:3EQHHY4HQUG4TKWHD343TNI0LNXG5V,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:37:20.176954,,,{},returned
7,2021-11-04 14:27:24.454632,,,,,,f,,,{},participant,f72fd6c18e5487082f90152d643dbd6f,mturk,7,35DR22AR5F8C1R43OUGE2CKBAH2X3E,7:35DR22AR5F8C1R43OUGE2CKBAH2X3E,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:54:23.468433,,,{},returned
91,2021-11-04 14:40:10.817696,,,,,,f,,,{},participant,4042354bd88d75d8a8f71882b7b35324,mturk,91,3QEMNNSB2ZNG4409Z6ISLMTZZ1CD7X,91:3QEMNNSB2ZNG4409Z6ISLMTZZ1CD7X,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:46:06.945141,,,{},returned
69,2021-11-04 14:34:52.3703,,,,,,f,,,{},participant,da79c452635aae055585261006525446,mturk,69,3I02618YA2URRCFVHN2YV8O8LVDUPV,69:3I02618YA2URRCFVHN2YV8O8LVDUPV,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:39:47.59908,,,{},returned
83,2021-11-04 14:37:21.168565,,,,,,f,,,{},participant,7cbee9ad7e525a27d459ea9379d6b56b,mturk,83,3MX2NQ3YCBIFF6R72D47H9IVODTX54,83:3MX2NQ3YCBIFF6R72D47H9IVODTX54,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:46:41.49574,,,{},returned
3,2021-11-04 14:27:19.411282,,,,,,f,,,{},participant,3bee1fb2ffaf2d39fc24c9593fb668fc,mturk,3,3E4GGUZ1TAFHW99DLBNKT87H8UO2KK,3:3E4GGUZ1TAFHW99DLBNKT87H8UO2KK,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:55.648726,1.2,1.5,{},approved
2,2021-11-04 14:27:15.284339,,,,,,f,,,{},participant,e1ef947b2a52827b49151bdc50854fd3,mturk,2,3OSWBBLG1GLAJJ60HJMQFL6N1URXDC,2:3OSWBBLG1GLAJJ60HJMQFL6N1URXDC,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:34:08.008387,,,{},returned
13,2021-11-04 14:27:38.828582,,,,,,f,,,{},participant,d4ea5242dea58e32cb40ee831fe71358,mturk,13,3X73LLYYQ32MJ5XY19I784UNR8ANHR,13:3X73LLYYQ32MJ5XY19I784UNR8ANHR,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:33:13.994558,1.2,1.15,{},approved
4,2021-11-04 14:27:20.082024,,,,,,f,,,{},participant,22aab7887466355e9b84cb78d3ce75b4,mturk,4,384PI804XUP8OIJ7BXS8165CSQGS06,4:384PI804XUP8OIJ7BXS8165CSQGS06,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:33:18.060599,1.2,1.4,{},approved
33,2021-11-04 14:28:43.171822,,,,,,f,,,{},participant,28ca30fbd4435be1dc7bca8ebe4ff044,mturk,33,31LVTDXBL9Y9KZ8GL1EM9GS49M8LRK,33:31LVTDXBL9Y9KZ8GL1EM9GS49M8LRK,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:33:45.213238,1.2,1.45,{},approved
12,2021-11-04 14:27:37.498395,,,,,,f,,,{},participant,fad1e9763fbd32a4ec40c70787ec3ccf,mturk,12,3AUQQEL7U7HOGA0B5SXDCTPJRUAV0E,12:3AUQQEL7U7HOGA0B5SXDCTPJRUAV0E,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:34:18.024895,1.2,1.2,{},approved
30,2021-11-04 14:28:27.050252,,,,,,f,,,{},participant,40041bc0a52c945f82db197e8732a9c8,mturk,30,3X66WABAJY61F59DZKGAEQKG7R6G35,30:3X66WABAJY61F59DZKGAEQKG7R6G35,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:34:38.20706,1.2,1.45,{},approved
10,2021-11-04 14:27:28.143208,,,,,,f,,,{},participant,86eb33e64ae1675a4407ffc8dbdeec52,mturk,10,33JKGHPFYEI8BJY9S6YK092J8U9NM0,10:33JKGHPFYEI8BJY9S6YK092J8U9NM0,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:35:20.625278,1.2,1.2,{},approved
17,2021-11-04 14:27:45.036546,,,,,,f,,,{},participant,44cffbf576fd8f3ee5e00aed06ea3965,mturk,17,378XPAWRUE1FVHETYNVNMAB2SEQIAV,17:378XPAWRUE1FVHETYNVNMAB2SEQIAV,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:30:50.147009,1.2,1.35,{},approved
29,2021-11-04 14:28:22.341393,,,,,,f,,,{},participant,28a30959230124e3b9ec9c88f798e0ec,mturk,29,3LEP4MGT3IO36G3ZCNU8QOFVIR3DBJ,29:3LEP4MGT3IO36G3ZCNU8QOFVIR3DBJ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:09.923591,1.2,1.2,{},approved
32,2021-11-04 14:28:35.329345,,,,,,f,,,{},participant,b1855a985bd3c7d7931c01010c7fbf63,mturk,32,3O7L7BFSHGDILUV5ESX9IT1TDTOIEQ,32:3O7L7BFSHGDILUV5ESX9IT1TDTOIEQ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:05.747882,1.2,1.35,{},approved
23,2021-11-04 14:27:54.96543,,,,,,f,,,{},participant,eb1807a5ded70d030c9c7107d20d780d,mturk,23,3QHK8ZVMIO6M4SRRP4SW91N0R05LB7,23:3QHK8ZVMIO6M4SRRP4SW91N0R05LB7,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:30.35838,1.2,1.45,{},approved
25,2021-11-04 14:27:56.837534,,,,,,f,,,{},participant,4179f9eb647a4424bc75ab6cb3d625f4,mturk,25,35BLDD71I8LLIV619MA5ISS591TZVA,25:35BLDD71I8LLIV619MA5ISS591TZVA,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:57.173902,1.2,1.35,{},approved
16,2021-11-04 14:27:44.33253,,,,,,f,,,{},participant,876e70155fae447dbbc41f8fbe188f0f,mturk,16,3WLEIWSYHQ5QUJ85FQKNGGRPGDK2HG,16:3WLEIWSYHQ5QUJ85FQKNGGRPGDK2HG,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:30.275315,1.2,1.2,{},approved
22,2021-11-04 14:27:54.54276,,,,,,f,,,{},participant,725d6a48bf0f0af87afc57f4202a2e59,mturk,22,3HOSI13XH1CWLD1JQJLELE3VLCFDDQ,22:3HOSI13XH1CWLD1JQJLELE3VLCFDDQ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:30.254301,1.2,1.35,{},approved
14,2021-11-04 14:27:39.989706,,,,,,f,,,{},participant,8bec4b1eef7a4a5036d3f5a1f95ab492,mturk,14,3URFVVM1676L5GH14W00M6QMVUKUZG,14:3URFVVM1676L5GH14W00M6QMVUKUZG,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:31:57.328622,1.2,1.25,{},approved
5,2021-11-04 14:27:20.544481,,,,,,f,,,{},participant,2fa27626f4139d7a2471884a7ba82381,mturk,5,33LK57MYLVT5Q3PXFR50758YAXZZS5,5:33LK57MYLVT5Q3PXFR50758YAXZZS5,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:06.156605,1.2,1.4,{},approved
43,2021-11-04 14:29:39.786149,,,,,,f,,,{},participant,0c6a5b6d108887bb230373123a27528b,mturk,43,3KRVW3HTZP95RWQE02F6Z3CPVTHSMH,43:3KRVW3HTZP95RWQE02F6Z3CPVTHSMH,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:24.150167,1.2,0,{},did_not_attend
31,2021-11-04 14:28:29.489291,,,,,,f,,,{},participant,027323bc819f184454415457fb400051,mturk,31,3IUZPWIU1QV38P7KZVCRHFN6C1IKWJ,31:3IUZPWIU1QV38P7KZVCRHFN6C1IKWJ,3H4IKZHALC6C6HLFE57IP4VSEYFNN0,live,2021-11-04 14:32:24.354008,1.2,1.25,{},approved
