Unnamed: 0,choice,num_dots,green_dots,blue_dots,is_practice,payout_condition,front_end_condition,is_asocial,randomization_color,proportion_green,generation,network_id,front_end_node_id,current_bonus_points,current_bonus_dollars,participant_id,green_button_left,stimulus_id,condition_replication,utility_payout,chose_correct,true_color,chose_utility,proportion_utility,trial,base_pay,resampling_condition,node_table_id,condition,participant_status,hit_id,k_chose_green,k_chose_green_tie,k_chose_utility,green_first
0,green,100,53,47,True,blue,asocial-none,True,blue,0.53,1,19,2,97,0.097,2,True,stimulus-0,18,True,True,green,False,0.47,0,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
1,blue,100,47,53,True,blue,asocial-none,True,blue,0.47,1,19,2,103,0.103,2,True,stimulus-1,18,True,True,blue,True,0.53,1,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
2,green,100,48,52,False,blue,asocial-none,True,blue,0.48,1,19,2,52,0.052,2,True,stimulus-6,18,True,False,blue,False,0.52,2,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
3,blue,100,52,48,False,blue,asocial-none,True,blue,0.52,1,19,2,48,0.048,2,True,stimulus-3,18,True,False,green,True,0.48,3,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
4,green,100,51,49,False,blue,asocial-none,True,blue,0.51,1,19,2,99,0.099,2,True,stimulus-8,18,True,True,green,False,0.49,4,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
5,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,19,2,51,0.051,2,True,stimulus-5,18,True,False,blue,False,0.51,6,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
6,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,19,2,102,0.102,2,True,stimulus-2,18,True,True,blue,True,0.52,14,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
7,blue,100,51,49,False,blue,asocial-none,True,blue,0.51,1,19,2,49,0.049,2,True,stimulus-4,18,True,False,green,True,0.49,7,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
8,green,100,48,52,False,blue,asocial-none,True,blue,0.48,1,19,2,52,0.052,2,True,stimulus-10,18,True,False,blue,False,0.52,9,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
9,blue,100,51,49,False,blue,asocial-none,True,blue,0.51,1,19,2,49,0.049,2,True,stimulus-16,18,True,False,green,True,0.49,5,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
10,blue,100,49,51,False,blue,asocial-none,True,blue,0.49,1,19,2,101,0.101,2,True,stimulus-13,18,True,True,blue,True,0.51,12,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
11,green,100,49,51,False,blue,asocial-none,True,blue,0.49,1,19,2,51,0.051,2,True,stimulus-9,18,True,False,blue,False,0.51,8,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
12,blue,100,48,52,False,blue,asocial-none,True,blue,0.48,1,19,2,102,0.102,2,True,stimulus-14,18,True,True,blue,True,0.52,10,1.4,none,2,ASO:oversampling:N-R:B,approved,71516600-9f5a-a9d4-3666-e69b62b1bbd7,,,,
