,condition,condition_replication,net_decision_index,chose_utility
0,ASO:N-U,0,0,4
1,ASO:N-U,0,1,2
2,ASO:N-U,0,2,6
3,ASO:N-U,0,3,7
4,ASO:N-U,0,4,3
5,ASO:N-U,0,5,5
6,ASO:N-U,0,6,5
7,ASO:N-U,0,7,5
8,ASO:N-U,0,8,5
9,ASO:N-U,0,9,5
10,ASO:N-U,1,0,3
11,ASO:N-U,1,1,7
12,ASO:N-U,1,2,0
13,ASO:N-U,1,3,7
14,ASO:N-U,1,4,3
15,ASO:N-U,1,5,6
16,ASO:N-U,1,6,6
17,ASO:N-U,1,7,7
18,ASO:N-U,1,8,3
19,ASO:N-U,1,9,3
20,ASO:N-U,2,0,4
21,ASO:N-U,2,1,3
22,ASO:N-U,2,2,6
23,ASO:N-U,2,3,4
24,ASO:N-U,2,4,7
25,ASO:N-U,2,5,3
26,ASO:N-U,2,6,2
27,ASO:N-U,2,7,7
28,ASO:N-U,2,8,6
29,ASO:N-U,2,9,3
30,ASO:N-U,3,0,5
31,ASO:N-U,3,1,0
32,ASO:N-U,3,2,6
33,ASO:N-U,3,3,3
34,ASO:N-U,3,4,1
35,ASO:N-U,3,5,2
36,ASO:N-U,3,6,4
37,ASO:N-U,3,7,4
38,ASO:N-U,3,8,5
39,ASO:N-U,3,9,3
40,ASO:N-U,4,0,5
41,ASO:N-U,4,1,4
42,ASO:N-U,4,2,2
43,ASO:N-U,4,3,5
44,ASO:N-U,4,4,4
45,ASO:N-U,4,5,4
46,ASO:N-U,4,6,4
47,ASO:N-U,4,7,7
48,ASO:N-U,4,8,7
49,ASO:N-U,4,9,2
50,ASO:N-U,5,0,6
51,ASO:N-U,5,1,3
52,ASO:N-U,5,2,5
53,ASO:N-U,5,3,1
54,ASO:N-U,5,4,5
55,ASO:N-U,5,5,8
56,ASO:N-U,5,6,5
57,ASO:N-U,5,7,5
58,ASO:N-U,5,8,6
59,ASO:N-U,5,9,3
60,ASO:N-U,6,0,5
61,ASO:N-U,6,1,3
62,ASO:N-U,6,2,1
63,ASO:N-U,6,3,6
64,ASO:N-U,6,4,5
65,ASO:N-U,6,5,5
66,ASO:N-U,6,6,0
67,ASO:N-U,6,7,7
68,ASO:N-U,6,8,7
69,ASO:N-U,6,9,2
70,ASO:N-U,7,0,2
71,ASO:N-U,7,1,3
72,ASO:N-U,7,2,1
73,ASO:N-U,7,3,5
74,ASO:N-U,7,4,6
75,ASO:N-U,7,5,4
76,ASO:N-U,7,6,5
77,ASO:N-U,7,7,7
78,ASO:N-U,7,8,6
79,ASO:N-U,7,9,3
80,ASO:N-U,8,0,5
81,ASO:N-U,8,1,1
82,ASO:N-U,8,2,4
83,ASO:N-U,8,3,6
84,ASO:N-U,8,4,7
85,ASO:N-U,8,5,1
86,ASO:N-U,8,6,3
87,ASO:N-U,8,7,4
88,ASO:N-U,8,8,7
89,ASO:N-U,8,9,1
90,ASO:N-U,9,0,6
91,ASO:N-U,9,1,4
92,ASO:N-U,9,2,8
93,ASO:N-U,9,3,8
94,ASO:N-U,9,4,5
95,ASO:N-U,9,5,2
96,ASO:N-U,9,6,4
97,ASO:N-U,9,7,6
98,ASO:N-U,9,8,2
99,ASO:N-U,9,9,3
100,ASO:W-U,0,0,5
101,ASO:W-U,0,1,1
102,ASO:W-U,0,2,5
103,ASO:W-U,0,3,7
104,ASO:W-U,0,4,2
105,ASO:W-U,0,5,5
106,ASO:W-U,0,6,6
107,ASO:W-U,0,7,4
108,ASO:W-U,0,8,6
109,ASO:W-U,0,9,1
110,ASO:W-U,1,0,7
111,ASO:W-U,1,1,4
112,ASO:W-U,1,2,2
113,ASO:W-U,1,3,6
114,ASO:W-U,1,4,3
115,ASO:W-U,1,5,6
116,ASO:W-U,1,6,3
117,ASO:W-U,1,7,5
118,ASO:W-U,1,8,3
119,ASO:W-U,1,9,5
120,ASO:W-U,2,0,2
121,ASO:W-U,2,1,5
122,ASO:W-U,2,2,6
123,ASO:W-U,2,3,6
124,ASO:W-U,2,4,8
125,ASO:W-U,2,5,2
126,ASO:W-U,2,6,2
127,ASO:W-U,2,7,8
128,ASO:W-U,2,8,6
129,ASO:W-U,2,9,5
130,ASO:W-U,3,0,6
131,ASO:W-U,3,1,2
132,ASO:W-U,3,2,8
133,ASO:W-U,3,3,6
134,ASO:W-U,3,4,4
135,ASO:W-U,3,5,4
136,ASO:W-U,3,6,2
137,ASO:W-U,3,7,6
138,ASO:W-U,3,8,8
139,ASO:W-U,3,9,3
140,ASO:W-U,4,0,7
141,ASO:W-U,4,1,2
142,ASO:W-U,4,2,2
143,ASO:W-U,4,3,2
144,ASO:W-U,4,4,4
145,ASO:W-U,4,5,1
146,ASO:W-U,4,6,7
147,ASO:W-U,4,7,4
148,ASO:W-U,4,8,6
149,ASO:W-U,4,9,5
150,ASO:W-U,5,0,6
151,ASO:W-U,5,1,5
152,ASO:W-U,5,2,5
153,ASO:W-U,5,3,2
154,ASO:W-U,5,4,4
155,ASO:W-U,5,5,6
156,ASO:W-U,5,6,5
157,ASO:W-U,5,7,6
158,ASO:W-U,5,8,6
159,ASO:W-U,5,9,6
160,ASO:W-U,6,0,1
161,ASO:W-U,6,1,5
162,ASO:W-U,6,2,3
163,ASO:W-U,6,3,6
164,ASO:W-U,6,4,7
165,ASO:W-U,6,5,5
166,ASO:W-U,6,6,1
167,ASO:W-U,6,7,7
168,ASO:W-U,6,8,4
169,ASO:W-U,6,9,4
170,ASO:W-U,7,0,4
171,ASO:W-U,7,1,1
172,ASO:W-U,7,2,2
173,ASO:W-U,7,3,7
174,ASO:W-U,7,4,5
